time,price
54:12,1960.155
54:14,1960.155
54:16,1960.155
54:18,1960.06
54:20,1960.11
54:22,1960.11
54:24,1960.11
54:26,1960.115
54:28,1960.115
54:30,1960.11
54:32,1960.11
54:35,1960.11
54:37,1960.11
54:39,1960.18
54:41,1960.115
54:43,1960.115
54:45,1960.13
54:47,1960.13
54:49,1960.07
54:51,1960.07
54:53,1960.115
54:55,1960.115
54:57,1960.115
54:59,1960.115
55:01,1960.115
55:03,1960.115
55:05,1960.115
55:07,1960.115
55:09,1960.115
55:11,1960.115
55:13,1960.115
55:15,1960.07
55:18,1960.07
55:20,1960.07
55:22,1960.115
55:24,1960.115
55:26,1960.115
55:28,1960.115
55:30,1960.115
55:32,1960.115
55:34,1960.115
55:36,1960.115
55:38,1960.115
55:40,1960.115
55:42,1960.115
55:44,1960.115
55:46,1960.115
55:48,1960.115
55:50,1960.115
55:52,1960.115
55:54,1960.115
55:56,1960.115
55:59,1960.135
56:01,1960.135
56:03,1960.135
56:05,1960.135
56:07,1960.135
56:09,1960.135
56:11,1960.135
56:13,1960.135
56:15,1960.135
56:17,1960.135
56:19,1960.165
56:21,1960.165
56:23,1960.165
56:25,1960.165
56:27,1960.165
56:29,1960.165
56:31,1960.165
56:33,1960.165
56:36,1960.165
56:38,1960.165
56:40,1960.165
56:42,1960.165
56:44,1960.165
56:46,1960.165
56:48,1960.165
56:50,1960.16
56:52,1960.16
56:54,1960.16
56:56,1960.16
56:58,1960.16
57:00,1960.15
57:02,1960.15
57:04,1960.15
57:06,1960.15
57:08,1960.15
57:11,1960.15
57:13,1960.15
57:15,1960.15
57:17,1960.15
57:19,1960.15
57:21,1960.15
57:23,1960.15
57:25,1960.15
57:27,1960.15
57:29,1960.15
57:31,1960.15
57:33,1960.15
57:35,1960.15
57:37,1960.15
57:39,1960.15
57:41,1960.15
57:43,1960.15
57:45,1960.15
57:47,1960.15
57:50,1960.15
57:52,1960.15
57:54,1960.15
57:56,1960.15
57:58,1960.15
58:00,1960.15
58:02,1960.15
58:04,1960.15
58:06,1960.15
58:08,1960.15
58:10,1960.13
58:12,1960.13
58:14,1960.13
58:16,1960.13
58:18,1960.13
58:20,1960.13
58:22,1960.115
58:24,1960.125
58:26,1960.125
58:29,1960.125
58:31,1960.125
58:33,1960.125
58:35,1960.125
58:37,1960.125
58:39,1960.125
58:41,1960.125
58:43,1960.125
58:45,1960.125
58:47,1960.125
58:49,1960.125
58:51,1960.125
58:53,1960.125
58:55,1960.125
58:57,1960.125
58:59,1960.125
59:01,1960.125
59:04,1960.125
59:06,1960.125
59:08,1960.125
59:10,1960.125
59:12,1960.125
59:14,1960.06
59:16,1960.06
59:18,1960.06
59:20,1960.025
59:22,1960.025
59:24,1960.05
59:26,1960.05
59:28,1960.03
59:30,1960.03
59:32,1960.04
59:34,1960.04
59:36,1960.04
59:38,1960.04
59:40,1960.04
59:42,1960.04
59:44,1960.095
59:46,1960.095
59:49,1960.095
59:51,1960.095
59:53,1960.095
59:55,1960.04
59:57,1960.04
59:59,1960.04
00:01,1960.04
00:03,1960.04
00:05,1960.04
00:07,1960.06
00:09,1960.055
00:11,1960.055
00:13,1960.055
00:15,1960.055
00:17,1960.055
00:19,1960.055
00:21,1960.08
00:23,1960.125
00:25,1960.125
00:27,1960.185
00:30,1960.185
00:32,1960.185
00:34,1960.225
00:36,1960.235
00:38,1960.33
00:40,1960.22
00:42,1960.22
00:44,1960.15
00:46,1960.125
00:48,1960.125
00:50,1960.125
00:52,1960.125
00:54,1960.125
00:56,1960.125
00:58,1960.135
01:00,1960.14
01:02,1960.14
01:04,1960.16
01:06,1960.16
01:08,1960.17
01:11,1960.15
01:13,1960.15
01:15,1960.18
01:17,1960.18
01:19,1960.23
01:21,1960.23
01:23,1960.275
01:25,1960.275
01:27,1960.275
01:29,1960.27
01:31,1960.27
01:33,1960.27
01:35,1960.25
01:37,1960.25
01:39,1960.25
01:41,1960.25
01:43,1960.25
01:45,1960.25
01:47,1960.25
01:49,1960.155
01:51,1960.11
01:54,1960.02
01:56,1959.95
01:58,1959.95
02:00,1959.955
02:02,1959.955
02:04,1959.935
02:06,1959.935
02:08,1959.94
02:10,1959.935
02:12,1959.935
02:14,1959.84
02:16,1959.84
02:18,1959.84
02:20,1959.945
02:22,1959.945
02:24,1959.945
02:26,1959.945
02:28,1959.915
02:31,1959.91
02:33,1959.92
02:35,1959.81
02:37,1959.85
02:39,1959.83
02:41,1959.875
02:43,1959.9
02:45,1959.915
02:47,1959.915
02:49,1959.855
02:51,1959.82
02:53,1959.82
02:55,1959.82
02:57,1959.83
02:59,1959.83
03:01,1959.83
03:03,1959.83
03:05,1959.83
03:07,1959.815
03:10,1959.735
03:12,1959.72
03:14,1959.72
03:16,1959.73
03:18,1959.735
03:20,1959.735
03:22,1959.73
03:24,1959.81
03:26,1959.8
03:28,1959.8
03:30,1959.845
03:32,1959.845
03:34,1959.955
03:36,1960.055
03:38,1960.055
03:40,1960.055
03:42,1960.055
03:44,1960.055
03:46,1960.055
03:48,1960.065
03:51,1960.065
03:53,1960.075
03:55,1960.075
03:57,1960.075
03:59,1960.075
04:01,1960.075
04:03,1960.035
04:05,1960.035
04:07,1960.135
04:09,1960.125
04:11,1960.175
04:13,1960.165
04:15,1960.165
04:17,1960.21
04:19,1960.21
04:21,1960.215
04:23,1960.245
04:26,1960.245
04:28,1960.245
04:30,1960.195
04:32,1960.26
04:34,1960.26
04:36,1960.26
04:38,1960.26
04:40,1960.26
04:42,1960.205
04:44,1960.265
04:46,1960.265
04:48,1960.265
04:50,1960.265
04:52,1960.195
04:54,1960.195
04:56,1960.13
04:58,1960.13
05:01,1960.13
05:03,1960.13
05:05,1960.13
05:07,1960.13
05:09,1960.13
05:11,1960.13
05:13,1960.13
05:15,1960.175
05:17,1960.16
05:19,1960.13
05:21,1960.165
05:23,1960.165
05:25,1960.165
05:27,1960.26
05:29,1960.26
05:31,1960.165
05:33,1960.305
05:35,1960.305
05:37,1960.305
05:40,1960.305
05:42,1960.37
05:44,1960.37
05:46,1960.37
05:48,1960.37
05:50,1960.37
05:52,1960.37
05:54,1960.37
05:56,1960.37
05:58,1960.37
06:00,1960.37
06:02,1960.37
06:04,1960.37
06:06,1960.37
06:08,1960.37
06:10,1960.37
06:12,1960.37
06:14,1960.45
06:17,1960.45
06:19,1960.45
06:21,1960.45
